observable:DomainName,core:kindOfRelationship,observable:IPv4Address,observable:timeDateStamp
example.org,resolves to,192.168.1.1,2023-12-01T10:00:00Z
mail.example.org,resolves to,192.168.1.100,2023-12-01T10:15:00Z
blog.example.org,resolves to,192.168.2.50,2023-12-01T10:30:00Z
store.example.org,resolves to,192.168.3.25,2023-12-01T10:45:00Z
api.example.org,resolves to,192.168.4.10,2023-12-01T11:00:00Z
dev.example.org,resolves to,192.168.5.75,2023-12-01T11:15:00Z
staging.example.org,resolves to,192.168.6.200,2023-12-01T11:30:00Z
test.example.org,resolves to,192.168.7.150,2023-12-01T11:45:00Z
admin.example.org,resolves to,192.168.8.90,2023-12-01T12:00:00Z
cdn.example.org,resolves to,192.168.9.45,2023-12-01T12:15:00Z
db.example.org,resolves to,192.168.10.120,2023-12-01T12:30:00Z
auth.example.org,resolves to,192.168.11.85,2023-12-01T12:45:00Z
metrics.example.org,resolves to,192.168.12.160,2023-12-01T13:00:00Z
logs.example.org,resolves to,192.168.13.95,2023-12-01T13:15:00Z
cache.example.org,resolves to,192.168.14.220,2023-12-01T13:30:00Z
search.example.org,resolves to,192.168.15.30,2023-12-01T13:45:00Z
backup.example.org,resolves to,192.168.16.175,2023-12-01T14:00:00Z
monitor.example.org,resolves to,192.168.17.140,2023-12-01T14:15:00Z
proxy.example.org,resolves to,192.168.18.55,2023-12-01T14:30:00Z
gateway.example.org,resolves to,192.168.19.210,2023-12-01T14:45:00Z
analytics.example.org,resolves to,192.168.20.125,2023-12-01T15:00:00Z
